scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,PSI_TRUE_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,BETA_TRUE_scenario,SIGMA_SQ_TRUE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Hat_PW,Median_Beta_Hat_PW,SD_Beta_Hat_PW,Bias_Beta_PW,MSE_Beta_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Hat_GM,Median_Beta_Hat_GM,SD_Beta_Hat_GM,Bias_Beta_GM,MSE_Beta_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM
24,25000,7,1,0,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.9397735595703126e-4,1.4793984328898202,1.5089853049048614,0.13737880003116065,-0.0206015671101797,0.0174100657955967,2.0746025065469715,2.037496950852245,0.25196489301214725,1.0746025065469715,1.2119082236565943,-0.05644796370178349,-0.040442317125396116,0.09574067242548785,-0.05644796370178349,0.01143602132691398,100,100,1,5,10,10,0.03457930088043213,1.4786581394656744,1.505431498249019,0.13566496841249376,-0.02134186053432552,0.017019960299993246,-0.07909447698269544,-0.058962843257200234,0.10976353292268,2.0579609970711403,2.018752422827168,0.25588615313400076,1.0579609970711403,1.1782114223529072
25,10000,6,1,0.3,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.8949508666992186e-4,1.4971117109549896,1.5162973386325462,0.10467833967091603,-0.0028882890450103015,0.00987014153024123,1.9815740952649554,2.0000282508257703,0.16333662264553922,0.9815740952649555,0.9874986715627421,0.11279552498907502,0.15449710234579922,0.12199447665242469,-0.18720447501092496,0.04843990256444512,100,100,1,5.1,10,10,0.016260361671447753,1.4934449493521003,1.5067705701917755,0.1049768280563809,-0.006555050647899852,0.009961089674897597,0.008370071202239754,0.04198738847782531,0.10623489334179115,1.955714601377547,1.9977380751547065,0.17508121841563012,0.9557146013775472,0.9409784890239552
26,25000,6,1,0.3,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,2.203702926635742e-4,1.5009325216442841,1.4929901382668058,0.12018387917415024,9.325216442842107e-4,0.013000617928629131,2.0674118579283487,1.9842742670955862,0.2395572581855514,1.067411857928349,1.1910169864004905,0.1370065857098208,0.1144311753458121,0.08393344299784476,-0.1629934142901792,0.0329071936700952,100,100,1,5.4,10,10,0.020735335350036622,1.5042355679486155,1.4867098761873323,0.13647580457124103,0.00423556794861546,0.016781020745878155,0.05860387655968761,0.03621721660508639,0.085850720148501,2.0542091760637153,1.9578497914506836,0.252671762970349,1.0542091760637153,1.1688157047192276
27,10000,7,1,0.3,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,3.609418869018555e-4,1.481688955817371,1.4789624445119638,0.09833682581455823,-0.018311044182629035,0.009038412519212682,1.9961828638026975,1.9672254927470745,0.17207499465472728,0.9961828638026976,1.0190291215410259,0.1214121748130383,0.12552261563167147,0.11608330012084836,-0.17858782518696167,0.04402141061526104,100,100,1,5.1,10,10,0.0646134614944458,1.4691369408522794,1.4770120942170655,0.09453123608566677,-0.030863059147720657,0.008995067556251362,0.0024683596520418184,0.03345461698495371,0.11366309698771132,1.976549870275937,1.9729000944170052,0.179797446595657,0.9765498702759369,0.9827440587580355
28,25000,7,1,0.3,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.935243606567383e-4,1.5117286682369802,1.5514346831828456,0.11387062594293838,0.011728668236980266,0.011807429165986082,1.9963039124076387,2.035393351648447,0.18576285938571108,0.9963039124076387,1.0236785418132077,0.11976488025411966,0.1363160887077959,0.10107953981097048,-0.18023511974588033,0.041680064421369636,100,100,1,5.1,10,10,0.017038941383361816,1.5214393796420738,1.5671694156877338,0.11916094824749435,0.021439379642073726,0.013239045427954788,0.035647008225218886,0.09053344151185838,0.1322640179194438,1.9714263351891148,2.015976755243917,0.1856630684990289,0.9714263351891148,0.9746928222029819
29,10000,6,1,0.9,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,3.3783912658691406e-4,1.4970294814393652,1.5020420144679827,0.0686153101365923,-0.002970518560634772,0.004246078687145748,1.993035904736343,1.941280012202418,0.13854729347179753,0.9930359047363432,1.003396125371052,0.48072190930259817,0.47493728435328864,0.07768896078040441,-0.41927809069740185,0.18122613450328404,100,100,1,14.5,10,10,0.018276739120483398,1.5011942084795566,1.5070702508826876,0.06546496295399834,0.0011942084795566659,0.0038585213710041815,0.18283605231133998,0.20376684223784247,0.10553423466086587,1.9278085746683065,1.930288002321364,0.16335187412130897,0.9278085746683065,0.8848442025290839
30,25000,6,1,0.9,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,3.327846527099609e-4,1.5111798515292743,1.5152038819611306,0.0936635447328457,0.01117985152927419,0.008020562730946222,2.0427745711033896,2.028120957622823,0.20488382208426295,1.0427745711033896,1.1251584486365285,0.4785015892696344,0.4715400908077357,0.05025880031748313,-0.42149841073036565,0.1799342625566414,100,100,1,13.5,10,10,0.01877560615539551,1.5284866232142527,1.531245939412486,0.08021621135032718,0.02848662321425255,0.006602664209211116,0.1763049458499568,0.15877124155855266,0.09932542990065896,1.9813183511897332,1.98123544314663,0.20373582613014932,0.9813183511897333,1.0003431645457777
31,10000,7,1,0.9,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,2.9675960540771485e-4,1.4844534713171247,1.4697600058558304,0.09158972083900092,-0.015546528682875335,0.007791503821116973,1.9504539084299277,1.9871994024830242,0.2072713710679677,0.9504539084299276,0.9420279111876808,0.4428200794729025,0.44226930528245545,0.0770273712226804,-0.45717992052709755,0.21435337405889218,100,100,1,12.4,10,10,0.01577737331390381,1.4981298781963732,1.4989596442386628,0.11560347579670165,-0.001870121803626848,0.012031244610211125,0.2307623537767319,0.22911938510857421,0.11214282815558738,1.861306121120393,1.8360216828504003,0.20866804669565553,0.8613061211203928,0.7810363526200591
32,25000,7,1,0.9,100,2,uniform,1.5,1,200,10,4,TRUE,10,10,3.144502639770508e-4,1.4770418019352174,1.4826935829725207,0.09476220732601748,-0.02295819806478261,0.008608967201950996,1.853027638874126,1.9053088279249568,0.2444831975045273,0.8530276388741259,0.7814509831590002,0.45246858209663693,0.4774354263638808,0.07331009356401973,-0.4475314179033631,0.20512130284712343,100,100,1,12.3,10,10,0.021805548667907716,1.4681358394882236,1.4768056770315243,0.10111820466428278,-0.03186416051177647,0.010217726908195258,0.19838183583775904,0.211171480511961,0.09181681509557826,1.789156103472005,1.8193341981741808,0.23771406762154187,0.789156103472005,0.6736245357977789
33,10000,6,1,-0.3,250,2,uniform,1.5,1,200,10,4,TRUE,10,10,2.2428035736083985e-4,1.4933294931085892,1.5027038847453438,0.06613636561698613,-0.006670506891410865,0.003981112633509658,1.9955204087795286,1.9993603827575157,0.17514039444363297,0.9955204087795286,1.018667626285844,-0.1689677226929886,-0.1957536549159134,0.05106919812674726,0.1310322773070114,0.019516714393839604,200,200,1,5.8,10,10,0.0306072473526001,1.4882568118896151,1.5196507061490685,0.07922436528109807,-0.011743188110384791,0.005786752515769454,-0.09247668805708101,-0.09633544089141435,0.07890669402390658,1.9610933793253498,1.952355233532329,0.18566503053080746,0.9610933793253498,0.9547248369888258
