scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,K_MAX_TAYLOR_DGP_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,LAMBDA_TRUE_scenario,SIGMA_SQ_EPS_TRUE_scenario,K_NEIGHBORS_FOR_W_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Slope_Hat_PW,Median_Beta_Slope_Hat_PW,SD_Beta_Slope_Hat_PW,Bias_Beta_Slope_PW,MSE_Beta_Slope_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Slope_Hat_GM,Median_Beta_Slope_Hat_GM,SD_Beta_Slope_Hat_GM,Bias_Beta_Slope_GM,MSE_Beta_Slope_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Bias_Lambda_GM,MSE_Lambda_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM,RE_Beta_Slope_PW_vs_GM,RE_SpatialCorr_PW_vs_GM,RE_SigmaSq_PW_vs_GM
11,10000,30,7,1,0.9,0.1,4,1000,2,uniform,400,500,4,TRUE,500,6,0.0019129343032836914,1.5032413584472222,1.5049412156872568,0.02197876738566382,0.003241358447222192,4.926064879449115e-4,3.694537999997003,1.4914090825029205,11.4151749906398,3.5945379999970033,142.966311060217,0.435407292458982,0.4230778434378799,0.1887979950796988,-0.46459270754101806,0.25141977748051564,400,400,0.012,57.333333333333336,500,500,0.006829555988311826,1.5042703071652743,1.5042703071652743,0,0.004270307165274323,1.8235523285793224e-5,0.9244352328104094,0.9244352328104094,0,0.02443523281040938,5.97080602498907e-4,0.10488730096410841,0.10488730096410841,0,0.004887300964108401,2.388571071377491e-5,0.037018439123425666,0.0023748354583806724,1.6707230211538657e-7
12,25000,30,7,1,0.9,0.1,4,1000,2,uniform,400,500,4,TRUE,500,492,6.878523826599115e-4,1.5077129460455285,1.5092595441391037,0.024806022275677943,0.007712946045528603,6.735976003603832e-4,0.7519321260948602,0.7475267779955299,0.0508282111865182,0.6519321260948602,0.4275938370728812,0.5988974122818791,0.600136685914382,0.041961721156704615,-0.301102587718121,0.0924200328008969,400,400,0.984,28.014227642276424,500,500,0.03120182561874361,1.5051597349127117,1.5051597349127117,0,0.005159734912711711,2.6622864369456128e-5,0.9178154010301015,0.9178154010301015,0,0.017815401030101485,3.173885138633411e-4,0.1062858952956667,0.1062858952956667,0,0.006285895295666699,3.9512479668084736e-5,0.0395233955038031,0.0034341960746443376,9.240656960486087e-5
13,5000,30,7,1,-0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.1416330337524419e-4,1.493309662070953,1.4927917057061302,0.014508012889344293,-0.0066903379290469914,2.5482209472623026e-4,0.10964987307262838,0.10935152420156959,0.006018922465354493,0.009649873072628382,1.292750231064994e-4,-0.062327380354197125,-0.06262073270060571,0.05168335739279937,0.23767261964580286,0.05915410122182752,400,400,1,4.332,500,500,0.0019076061248779177,1.5034602247874913,1.5034602247874913,0,0.003460224787491306,1.1973155579969255e-5,-0.30884856425002505,-0.30884856425002505,0,-0.00884856425002506,7.829708928682155e-5,0.09939042632628474,0.09939042632628474,0,-6.095736737152663e-4,3.715800636867259e-7,0.046986332142166444,0.0013236121869759788,0.002874337631180392
14,10000,30,7,1,-0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.0786952972412102e-4,1.4933699960744744,1.4933186184097431,0.012377621534095296,-0.006630003925525669,1.9685605586410265e-4,0.101999105935196,0.1019380290001666,0.005141060949372478,0.0019991059351959894,3.0374071209928146e-5,-0.08351765181142443,-0.08387666703570973,0.053911369513454675,0.21648234818857556,0.049765229968530285,400,400,1,4.386,500,500,0.0057403960227966275,1.4951460195182302,1.4951460195182302,0,-0.004853980481769771,2.3561126517401895e-5,-0.2737721069650029,-0.2737721069650029,0,0.026227893034997063,6.879023730552474e-4,0.1005706323427768,0.1005706323427768,0,5.706323427767945e-4,3.2562127062293315e-7,0.11968708005440815,0.01382295175748714,0.010720369632784022
15,25000,30,7,1,-0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,1.9649887084960939e-4,1.5018993494194592,1.5017485333407659,0.011872554559814678,0.0018993494194591517,1.4428316488942456e-4,0.10543574959267848,0.10523990093143618,0.005199925392566325,0.005435749592678472,5.653251927438372e-5,-0.05680078337822597,-0.057114408774410735,0.0491701382680227,0.24319921662177402,0.061558726057746434,400,400,1,4.17,500,500,0.030982527732849003,1.5020508526164547,1.5020508526164547,0,0.002050852616454657,4.205996454418912e-6,-0.31258034850598526,-0.31258034850598526,0,-0.012580348505985273,1.582651685320459e-4,0.10074782008101658,0.10074782008101658,0,7.478200810165786e-4,5.592348735716422e-7,0.029150985547359565,0.0025709623747506077,0.009892268746371707
16,5000,30,7,1,0,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.0346593856811532e-4,1.5066476094822194,1.506655958911427,0.01398735047019323,0.006647609482219504,2.3944539305775753e-4,0.10392631165919976,0.10356443759647999,0.006074625016918145,0.0039263116591997495,5.224319020314329e-5,-0.01631196549238877,-0.013840676582040336,0.05078141691182689,-0.01631196549238877,0.0028396750171905127,400,400,1,3.972,500,500,0.0018817081451416263,1.5051721201622545,1.5051721201622545,0,0.005172120162254545,2.6750826972799985e-5,-0.025790108362004044,-0.025790108362004044,0,-0.025790108362004044,6.651296893239109e-4,0.0999421131298294,0.0999421131298294,0,-5.788687017060923e-5,3.3508897381489686e-9,0.11171994846585884,0.2342273976062126,6.414022047886649e-5
17,10000,30,7,1,0,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.2430086135864254e-4,1.4983078919903343,1.4986885660182074,0.015338575355259938,-0.0016921080096657303,2.3766457965750438e-4,0.1035571615063627,0.10322052064637682,0.008496481688671287,0.0035571615063626915,8.469921866610308e-5,-0.024835073677889338,-0.02375764548663034,0.07236914700117948,-0.024835073677889338,0.005843599735389165,400,400,1,4.138,500,500,0.00539292955398563,1.5026122542482003,1.5026122542482003,0,0.0026122542482003297,6.82387225724067e-6,0.021891942812388838,0.021891942812388838,0,0.021891942812388838,4.792571601009033e-4,0.0998172719390876,0.0998172719390876,0,-1.8272806091240712e-4,3.338954424480837e-8,0.028712197110206627,0.08201402933169692,3.9421313172244147e-4
18,25000,30,7,1,0,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,1.9067192077636719e-4,1.500114611835226,1.5001647390338508,0.012904738207556858,1.1461183522601149e-4,1.662123395419405e-4,0.10175522704115429,0.10136148127108853,0.005335286417114839,0.001755227041154291,3.148917255634406e-5,-0.02282189316898021,-0.019998991116538703,0.05262183029430507,-0.02282189316898021,0.0032843577172919436,400,400,1,4.108,500,500,0.0299602560997012,1.5029360562944976,1.5029360562944976,0,0.0029360562944975577,8.620426564458728e-6,-0.012837170277390406,-0.012837170277390406,0,-0.012837170277390406,1.6479294073071566e-4,0.10111609056285657,0.10111609056285657,0,0.001116090562856567,1.2456581444974887e-6,0.05186393855122609,0.050175088987137684,0.03955830031000698
19,5000,30,7,1,0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,1.8509912490844726e-4,1.5037637404749538,1.5034482754412077,0.015134113569379756,0.003763740474953686,2.427490531066273e-4,0.09944065407051879,0.09922507078562,0.006925183709536984,-5.59345929481222e-4,4.817512094084193e-5,0.09022186476741957,0.08870870045881592,0.053174838590614865,-0.2097781352325804,0.046828774353878465,400,400,1,4.074,500,500,0.0019519476890564101,1.499437735449478,1.499437735449478,0,-5.622645505221069e-4,3.161414247738269e-7,0.2974701018535595,0.2974701018535595,0,-0.0025298981464405013,6.400384631363084e-6,0.10178805632453901,0.10178805632453901,0,0.001788056324539003,3.1971454197239285e-6,0.001302338446753743,0.00013667632176311677,0.06636507303531128
20,10000,30,7,1,0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,1.8347692489624023e-4,1.5002140011541263,1.5000454563334515,0.012389630661213014,2.1400115412619435e-4,1.5324173851939446e-4,0.1112607394283166,0.11127375012881066,0.006327283422337909,0.011260739428316595,1.6675869894802292e-4,0.09517759362802736,0.0911649996984612,0.05107910054598192,-0.20482240637197263,0.044556074515566854,400,400,1,4.112,500,500,0.005991948127746629,1.497140282967166,1.497140282967166,0,-0.0028597170328339416,8.177981507880564e-6,0.2889547352754645,0.2889547352754645,0,-0.011045264724535486,1.2199787283506797e-4,0.10393296040538119,0.10393296040538119,0,0.003932960405381186,1.5468177550296143e-5,0.053366540910429236,0.002738074979932192,0.09275784500523973
21,25000,30,7,1,0.3,0.1,4,1000,2,clustered,400,500,4,TRUE,500,500,2.0773792266845712e-4,1.5042745082348867,1.5038656570366258,0.013357178363049902,0.004274508234886722,1.9632880604479846e-4,0.10962609669061735,0.10938635262237303,0.006570600544379616,0.009626096690617337,1.357481834278882e-4,0.07757547592037303,0.07857428885794673,0.05325231182972012,-0.22242452407962696,0.05230280600982788,400,400,1,4.008,500,500,0.029514650344848455,1.500292820797172,1.500292820797172,0,2.928207971719665e-4,8.574401925642596e-8,0.3019448207554379,0.3019448207554379,0,0.0019448207554378927,3.7823277707820155e-6,0.1008960824184073,0.1008960824184073,0,8.960824184073013e-4,8.029637005786778e-7,4.3673682422772347e-4,7.231596274340048e-5,0.00591509720647736
22,5000,30,7,1,0.9,0.1,4,1000,2,clustered,400,500,4,TRUE,500,4,0.0018231115341186524,1.5126830392972919,1.514013861191817,0.024148463794400315,0.012683039297291858,7.42841492838853e-4,4.9024904072659945,1.6444232399987455,14.719710395163528,4.802490407265994,239.3004484811322,0.42346607970603295,0.40925305346808766,0.1996900674467128,-0.4765339202939671,0.26688094798153594,400,400,0.008,74.5,500,500,0.0020742940902709773,1.5019813737778367,1.5019813737778367,0,0.0019813737778366924,3.925842047498847e-6,0.9233373981725504,0.9233373981725504,0,0.023337398172550428,5.4463415346416e-4,0.10773741301278808,0.10773741301278808,0,0.007737413012788075,5.986756013046223e-5,0.005284898710350436,0.002040738230223314,2.501773837468697e-7
23,10000,30,7,1,0.9,0.1,4,1000,2,clustered,400,500,4,TRUE,500,122,0.0016814036369323733,1.4931650732834956,1.4922247385381624,0.02426557232391786,-0.0068349267165045266,6.343565874268612e-4,1.1182355912066708,0.9646768730972448,0.3839112559937007,1.018235591206671,1.1838967959737021,0.5784422314079264,0.6161686443891397,0.11284836383829776,-0.3215577685920736,0.1161086822564524,400,400,0.244,56.67213114754098,500,500,0.006942421913146952,1.4994410084080532,1.4994410084080532,0,-5.589915919468336e-4,3.124715998672553e-7,0.9179564127974311,0.9179564127974311,0,0.0179564127974311,3.2243276055174733e-4,0.10650787955151152,0.10650787955151152,0,0.006507879551511511,4.2352496256981665e-5,4.925803657761842e-4,0.002776990956107669,3.577380765031012e-5
24,25000,30,7,1,0.9,0.1,4,1000,2,clustered,400,500,4,TRUE,500,390,0.0011186246871948244,1.5047566998179562,1.5050021721180311,0.02472608699951492,0.004756699817956221,6.327828127091106e-4,0.853889089925884,0.8272425953063318,0.1380225078825638,0.753889089925884,0.5873608721661056,0.6396645208580755,0.648739485243392,0.04839305781699215,-0.26033547914192456,0.07011176596884441,400,400,0.78,44.6,500,500,0.02963037586212177,1.503215371030412,1.503215371030412,0,0.0032153710304119176,1.0338610863212197e-5,0.916842248804633,0.916842248804633,0,0.01684224880463303,2.8366134479716277e-4,0.1053155326736074,0.1053155326736074,0,0.00531553267360739,2.8254887604187728e-5,0.01633832439119177,0.004045845099996674,4.810481757150015e-5
